season,player,team,position,minutes_played,overall_percentile,goal_threat_percentile,link_play_percentile,non_pkxg_p90,non_penalty_goals_p90,shots_per_90,shots_on_target_pct,offensive_duels_won_pct,touches_in_box_per_90,key_passes_per_90,xa_per_90,xg,non_pkxg,goal_conversion_pct,offensive_duels_per_90,passes_to_penalty_area_per_90,accurate_passes_to_penalty_area_pct,penalties_taken,possession,shooting_impact,penalty_box_passes_impact,overall_percentile_z,goal_threat_percentile_z,link_play_percentile_z,non_pkxg_p90_z,non_penalty_goals_p90_z,shots_per_90_z,shots_on_target_pct_z,offensive_duels_won_pct_z,touches_in_box_per_90_z,key_passes_per_90_z,xa_per_90_z,xg_z,non_pkxg_z,goal_conversion_pct_z,offensive_duels_per_90_z,passes_to_penalty_area_per_90_z,accurate_passes_to_penalty_area_pct_z,penalties_taken_z,possession_z,shooting_impact_z,penalty_box_passes_impact_z
2023.0,E. Collier,San Diego Loyal,ST,1012.0,0.784,0.181,0.723,0.195,0.259,0.149,0.138,0.734,0.277,0.766,0.911,1.98,1.98,0.337,0.819,0.66,0.401,0.0,56.61,0.103,0.617,0.9799965786172568,-1.1103159751625835,0.7704521706746792,-1.059470114286197,-0.7976468375249152,-1.2024795347829402,-1.2542067973070434,0.8121466334681917,-0.7793064176482124,0.9430329797358251,1.4994745520806214,-1.163990971986484,-1.1750405970906157,-0.5548596764811552,1.1023184026677293,0.556999966269871,-0.3161159048056954,-0.6065793064596254,2.008242380252208,-1.3808534724779473,0.4044380267225447
2023.0,R. Damus,San Diego Loyal,ST,2148.0,0.73,0.972,0.188,0.965,0.911,0.738,0.943,0.535,0.798,0.28,0.17,12.98,11.5,0.908,0.713,0.11,0.362,2.0,56.61,0.957,0.11,0.7925157376139932,1.6201672717007887,-1.090399384693851,1.5942825042453628,1.4316954160084907,0.8212662927394592,1.5379570407623078,0.12368154269004397,1.0248486012609221,-0.7323319546930824,-1.0199078935669965,1.6117505180632001,1.6687838223798268,1.4086845603502736,0.7352293682646077,-1.3444452103031062,-0.4511648340525244,0.7151499216236052,2.008242380252208,1.57328246799844,-1.350269255475881
2023.0,E. Conway,San Diego Loyal,ST,2539.0,0.578,0.706,0.348,0.645,0.77,0.39,0.45,0.475,0.348,0.28,0.17,9.24,9.24,0.812,0.521,0.589,0.681,0.0,56.61,0.411,0.674,0.2647918888640666,0.7019516665608936,-0.5338830316864401,0.491424273167312,0.9495830574989658,-0.3744273371039956,-0.1720265271484874,-0.08389587161492541,-0.5334426818659697,-0.7323319546930824,-1.0199078935669965,0.6679984114463076,0.9936742438080621,1.0785615362945518,0.07031338142121783,0.31154067983954103,0.6534661513253838,-0.6065793064596254,2.008242380252208,-0.31542739558482397,0.601712809928285
2024.0,D. Formella,Phoenix Rising,ST,1758.0,0.652,0.518,0.681,0.475,0.479,0.567,0.628,0.67,0.617,0.131,0.348,6.07,5.33,0.468,0.411,0.851,0.454,1.0,56.51,0.656,0.794,0.5217100783870574,0.052987253905629576,0.6243666280102341,-0.09446916209290263,-0.04541478878664951,0.2337271815232786,0.4453711910829965,0.5907307248762247,0.39806921849210564,-1.2459726444665542,-0.41471211040198175,-0.13191981795891966,-0.17432507133158387,-0.10437929990511809,-0.3106280693744745,1.217320018497941,-0.1325878727523126,0.05428530758198985,1.9799185233418162,0.5320706201256152,1.017028142993001
2024.0,T. Ángel,Phoenix Rising,ST,1378.0,0.074,0.262,0.369,0.45,0.06,0.738,0.489,0.482,0.493,0.241,0.089,5.38,3.9,0.156,0.057,0.461,0.915,2.0,56.51,0.67,0.748,-1.4850292938330578,-0.8307089675823898,-0.4608402603542173,-0.18062996139587523,-1.4780749179745283,0.8212662927394592,-0.036753993378667964,-0.05967850661267899,-0.03132660174730449,-0.8667748198015751,-1.2953059746701774,-0.3060345114256727,-0.6014961763570811,-1.177279128086214,-1.536566920116975,-0.13097747034471524,1.463759726806357,0.7151499216236052,1.9799185233418162,0.5804990781662118,0.8578239319848598
2024.0,R. Cabral,Phoenix Rising,ST,1408.0,0.046,0.699,0.074,0.557,0.755,0.844,0.543,0.046,0.741,0.0,0.0,5.39,4.65,0.628,0.28,0.043,0.762,1.0,56.51,0.766,0.135,-1.582241581760676,0.6777880980045805,-1.486917286211631,0.18813825962084815,0.8982945087213567,1.1854718236687873,0.15054643799492845,-1.5680743838954552,0.8274650387315158,-1.6975627811130294,-1.5979038662526848,-0.3035111100710821,-0.377455387008044,0.4458257401877515,-0.7642947062311624,-1.576075804540178,0.9339523889918743,0.05428530758198985,1.9799185233418162,0.9125799333017307,-1.263745227754065
2022.0,T. Amang,San Diego Loyal,ST,1974.0,0.979,0.929,0.684,0.993,0.911,0.972,0.521,0.812,1.0,0.535,0.17,12.84,12.84,0.518,0.947,0.525,0.762,0.0,55.63,0.876,0.681,1.6570107266845964,1.4717339219977232,0.6348013096291231,1.6907825994646923,1.4316954160084907,1.6252671817721271,0.07423885484272251,1.0819972720646518,1.7243482439089934,0.1467175479393691,-1.0199078935669965,1.5764228990989313,2.0690700326834395,0.06755977512390365,1.5455957272299892,0.090281604747413,0.9339523889918743,-0.6065793064596254,1.7306685825303731,1.293089246477846,0.6259395376903935
2022.0,T. Moshobane,San Diego Loyal,ST,2404.0,0.94,0.323,0.911,0.206,0.387,0.11,0.592,0.883,0.333,0.812,0.89,4.8,4.8,0.578,0.713,0.784,0.911,0.0,55.63,0.287,0.933,1.5216078970711284,-0.6201407273059476,1.4243588854583873,-1.0215593625928892,-0.35998455462265144,-1.3364796829550514,0.3205042368339322,1.3276305456588653,-0.5853857246368659,1.1016066155048165,1.4280750495723893,-0.45239178999192875,-0.33264722913823674,0.27388666515872956,0.7352293682646077,0.9856894242608695,1.449908554575913,-0.6065793064596254,1.7306685825303731,-0.744365166801536,1.4981017371262975
2022.0,K. Vassell,San Diego Loyal,ST,2103.0,0.908,0.926,0.628,0.975,0.933,0.982,0.415,0.564,0.872,0.571,0.493,14.24,12.02,0.663,0.887,0.5,0.628,3.0,55.63,0.837,0.596,1.410508139439565,1.4613781069021605,0.4400205860765291,1.628746823966552,1.5069186208823173,1.6596261941239505,-0.29342495489063325,0.2240106262707788,1.2811009455973443,0.270818654193362,0.07828445453581129,1.9296990887416186,1.8241187696618257,0.5661830927080669,1.33780948134143,0.0038522785395503243,0.46993811927200074,1.3760145356652205,1.7306685825303731,1.1581813990790415,0.3317578434362193
2022.0,A. Carleton,San Diego Loyal,ST,1022.0,0.543,0.078,0.546,0.078,0.0,0.142,0.564,0.933,0.085,0.383,0.089,2.14,1.4,0.103,0.816,0.901,0.436,1.0,55.63,0.309,0.844,0.14327652895454435,-1.4658656267769037,0.15480595516023113,-1.4627026550241093,-1.6832291130849644,-1.2265308434292166,0.22338549464021557,1.5006117242463397,-1.4441773651156862,-0.37726490068860213,-1.2953059746701774,-1.123616550313034,-1.3482988075205375,-1.3595345476169771,1.0919290903733012,1.3901786709136663,-0.19491814778931058,0.05428530758198985,1.7306685825303731,-0.6682633041663127,1.1900761984366326
2023.0,Danny Trejo,Phoenix Rising,ST,3382.0,0.957,0.876,0.695,0.56,0.918,0.266,0.777,0.801,0.567,0.535,0.411,11.92,11.18,0.986,0.706,0.727,0.355,1.0,55.5,0.518,0.628,1.5806296433128966,1.2887811886427816,0.6730618088983822,0.1984775555372049,1.4556300721047082,-0.800479090266606,0.9621816406138455,1.0439414127754074,0.22492574258911754,0.1467175479393691,-0.20051360287728548,1.3442699744765942,1.5731930855909042,1.6769095173955473,0.7109876395776091,0.7886305605069426,-0.4754043854558014,0.05428530758198985,1.6938475685468637,0.0547043908683067,0.4425085989201437
2023.0,D. Formella,Phoenix Rising,ST,2611.0,0.77,0.585,0.784,0.291,0.532,0.216,0.809,0.351,0.266,0.72,0.411,8.76,5.8,0.908,0.833,0.734,0.734,4.0,55.5,0.521,0.805,0.9313904346534476,0.28426712437319696,0.9826240302587548,-0.7286126449627819,0.13580475022756922,-0.972274152025723,1.073174488835236,-0.5128891945118618,-0.8173979823468698,0.7844593439668337,-0.20051360287728548,0.5468751464259576,-0.03392617667285413,1.4086845603502736,1.1508018600417265,0.8128307718451441,0.8369941833787663,2.0368791497068357,1.6938475685468637,0.06508191759129167,1.0550987151906002
2023.0,M. Arteaga,Phoenix Rising,ST,2999.0,0.369,0.762,0.312,0.809,0.812,0.787,0.351,0.138,0.528,0.613,0.348,14.1,12.62,0.691,0.291,0.167,0.323,2.0,55.5,0.546,0.149,-0.4608284031670822,0.895260215011398,-0.6590992111131074,1.0566391165948132,1.0931909940762712,0.989625453263394,-0.515410651333414,-1.2497890152945024,0.08987383138478719,0.4156032781563541,-0.41471211040198175,1.8943714697773497,2.003351401141055,0.6624689747243188,-0.7262005611515933,-1.1473863465491794,-0.5862137632993532,0.7151499216236052,1.6938475685468637,0.15156130694949982,-1.2152917722298482
2023.0,Rodrigo Da Costa,Memphis 901,ST,3211.0,0.894,0.709,0.94,0.507,0.73,0.39,0.72,0.805,0.365,0.883,0.926,10.83,10.09,0.84,0.202,0.865,0.674,1.0,55.32,0.606,0.901,1.361901995475756,0.7123074816564563,1.5252274744409802,0.015816661014902558,0.8128135940920083,-0.3744273371039956,0.7644756297194937,1.0577799070624054,-0.47457390005895367,1.346361575061303,1.5504741967293587,1.0692192268262164,1.2475871384036372,1.1748474183108037,-1.0344168258862896,1.2657204411743441,0.6292265999221067,0.05428530758198985,1.6428646261081592,0.35911184140919894,1.387350981642373
2023.0,N. Pickering,Memphis 901,ST,1210.0,0.518,0.493,0.504,0.5,0.571,0.372,0.316,0.177,0.45,0.312,0.411,3.76,3.76,0.578,0.475,0.738,0.323,0.0,55.32,0.312,0.624,0.056479843304885306,-0.033311205224059885,0.008720412495785637,-0.008308362789929828,0.26915497704935243,-0.43627355933727785,-0.6368090790755596,-1.1148636959962723,-0.18022999102387408,-0.6220198602450886,-0.20051360287728548,-0.7148255308693535,-0.6433171237022347,0.27388666515872956,-0.0889894070933445,0.8266594640384022,-0.5862137632993532,-0.6065793064596254,1.6428646261081592,-0.6578857774433278,0.42866475448465313
2022.0,W. Harris,Louisville City,ST,2448.0,0.819,0.918,0.539,0.94,0.918,0.961,0.77,0.223,0.84,0.461,0.348,13.25,12.51,0.635,0.748,0.394,0.677,1.0,54.54,0.954,0.5,1.1015119385267789,1.4337625999806598,0.13045836471615688,1.5081217049423898,1.4556300721047082,1.5874722681851212,0.9379019550654163,-0.955721011695796,1.170289121019432,-0.1083791704716169,-0.41471211040198175,1.6798823546371469,1.9704920853698633,0.46989721069181456,0.8564380116996008,-0.362608064581787,0.6396149790949397,0.05428530758198985,1.421938542207106,1.5629049412754552,-0.0004944230155535084
2024.0,G. Hurst,New Mexico United,ST,2445.0,0.589,0.848,0.532,0.766,0.652,0.606,0.929,0.28,0.543,0.191,0.493,13.62,9.92,0.787,0.124,0.624,0.851,5.0,53.94,0.901,0.784,0.3029824305499166,1.1921269144175293,0.10611077427208263,0.9084425417937,0.5461131404484414,0.36772732969539007,1.4893976696654498,-0.7585224681060752,0.14181687415568361,-1.0391374673765656,0.07828445453581129,1.7732482047569997,1.1968045594845222,0.9925919987800409,-1.304538945541417,0.4325417365305488,1.2421409711192528,2.697743763748451,1.2519954007447571,1.3795686358360542,0.9824185319042747
2024.0,D. Bruce,New Mexico United,ST,1478.0,0.44,0.507,0.649,0.688,0.571,0.532,0.174,0.426,0.862,0.759,0.411,5.61,5.61,0.486,0.5,0.525,0.762,0.0,53.94,0.259,0.681,-0.2143258159220507,0.015015931888566215,0.5130633574087519,0.6396208479684249,0.26915497704935243,0.11347063829189692,-1.1293398430579795,-0.25341742663065026,1.2464722504167467,0.9189022090753264,-0.20051360287728548,-0.24799628027008827,-0.09068317664127667,-0.04248123289467038,-0.0024118046397780127,0.090281604747413,0.9339523889918743,-0.6065793064596254,1.2519954007447571,-0.8412220828827288,0.6259395376903935
2025.0,J. LaCava,San Antonio,ST,1123.0,0.06,0.071,0.184,0.301,0.082,0.113,0.039,0.897,0.191,0.16,0.089,2.53,2.53,0.096,0.099,0.773,0.323,0.0,53.33,0.053,0.649,-1.5336354377968668,-1.4900291953332168,-1.1043122935190361,-0.6941483252415928,-1.4028517131007017,-1.3261719792495044,-1.5975909214919701,1.3760652756633582,-1.0771131962013518,-1.1460023088730595,-1.2953059746701774,-1.025203897484,-1.0107440182346552,-1.3836060181210403,-1.3911165479949834,0.9476605207294099,-0.5862137632993532,-0.6065793064596254,1.0792198735913698,-1.5538122511943633,0.5151887822064691
2025.0,J. Agudelo,San Antonio,ST,1106.0,0.025,0.089,0.316,0.145,0.082,0.05,0.489,0.078,0.291,0.351,0.493,1.98,1.98,0.156,0.613,0.053,0.915,0.0,53.33,0.113,0.22,-1.6551507977063893,-1.4278943047598405,-0.6451863022879222,-1.2317917128921425,-1.4028517131007017,-1.5426337570659918,-0.036753993378667964,-1.4573664295994715,-0.7308262443953759,-0.48757699513659614,0.07828445453581129,-1.163990971986484,-1.1750405970906157,-1.177279128086214,0.38891895845034213,-1.5415040740570327,1.463759726806357,-0.6065793064596254,1.0792198735913698,-1.346261716734664,-0.9695635334998912
2025.0,A. Moreno,El Paso Locomotive,ST,2768.0,0.78,0.613,0.78,0.624,0.652,0.624,0.532,0.816,0.876,0.745,0.411,10.61,9.87,0.486,0.777,0.652,0.667,1.0,53.25,0.592,0.734,0.9661091089133113,0.38092139859844915,0.9687111214335695,0.4190492017528149,0.5461131404484414,0.42957355192867225,0.11239264641882547,1.0958357663516494,1.2949524236695833,0.870640667754329,-0.20051360287728548,1.0137043970252226,1.1818685068612529,-0.04248123289467038,0.9568680305457379,0.5293425818833549,0.6049870485188298,0.05428530758198985,1.0565607880630572,0.3106833833686024,0.8093704764606429
2025.0,B. Avila,El Paso Locomotive,ST,2167.0,0.521,0.209,0.426,0.369,0.227,0.401,0.163,0.582,0.691,0.571,0.493,5.42,5.42,0.202,0.943,0.365,0.245,0.0,53.25,0.202,0.227,0.0668954455828444,-1.0136617009373314,-0.2625813095953272,-0.4597909511375069,-0.907062408250481,-0.33663242351698985,-1.1674936346340823,0.2862838505622696,0.6543215628285277,0.270818654193362,0.07828445453581129,-0.29594090600731016,-0.1474401766096995,-1.019095179059514,1.5317433108374185,-0.4628660829829077,-0.8563116217930109,-0.6065793064596254,1.0565607880630572,-1.0383950906194432,-0.9453368057377828
2025.0,R. Avila,El Paso Locomotive,ST,2048.0,0.504,0.238,0.436,0.404,0.259,0.401,0.174,0.511,0.73,0.592,0.493,5.46,5.46,0.209,0.933,0.323,0.362,0.0,53.25,0.223,0.252,0.007873699341076247,-0.9135554883468916,-0.22779903753236402,-0.339165832113345,-0.7976468375249152,-0.33663242351698985,-1.1293398430579795,0.04065057696805622,0.7893734740328584,0.343210966174858,0.07828445453581129,-0.2858473005889477,-0.13549133451108417,-0.9950237085554511,1.4971122698559924,-0.6080673510121167,-0.4511648340525244,-0.6065793064596254,1.0565607880630572,-0.9657524035585485,-0.8588127780159668
2025.0,F. Valot,Loudoun United,ST,3080.0,0.45,0.05,0.968,0.05,0.05,0.06,0.124,0.461,0.401,0.72,0.89,3.68,3.68,0.074,0.014,0.936,0.543,0.0,52.9,0.074,0.915,-0.17960714166218708,-1.5625199010021558,1.6226178362172772,-1.559202750243439,-1.5122672838262676,-1.5082747447141684,-1.3027661684039018,-0.1323306016194181,-0.34991059740880226,0.7844593439668337,1.4280750495723893,-0.7350127417060783,-0.6672148078994652,-1.4592592111338096,-1.685480396337109,1.5111797276046741,0.17560070937506617,-0.6065793064596254,0.9574272888766869,-1.4811695641334686,1.43580443716659
2025.0,R. Bidois,Loudoun United,ST,1230.0,0.362,0.752,0.543,0.571,0.73,0.344,0.922,0.071,0.926,0.638,0.411,4.1,4.1,0.798,0.401,0.004,0.968,0.0,52.9,0.794,0.103,-0.4851314751489867,0.8607408313595222,0.14437127354134216,0.23638830723051255,0.8128135940920083,-0.5324787939223835,1.4651179841170205,-1.481583794601718,1.4680958995725715,0.5017846019438494,-0.20051360287728548,-0.6290298848132724,-0.5417519658640046,1.0304185952864258,-0.3452591103559009,-1.7109055534244435,1.6472877588597394,-0.6065793064596254,0.9574272888766869,1.0094368493829238,-1.3744959832379895
2025.0,Z. Ryan,Loudoun United,ST,1581.0,0.142,0.596,0.387,0.514,0.532,0.259,0.911,0.057,0.479,0.433,0.348,4.98,4.98,0.656,0.138,0.209,0.894,0.0,52.9,0.699,0.493,-1.2489423088659855,0.32223844639026034,-0.39823217064088356,0.03994168481973494,0.13580475022756922,-0.8245303989128824,1.4269641925409178,-1.5300185246062108,-0.07980677500014116,-0.20490225311361165,-0.41471211040198175,-0.4069705656092974,-0.2788774396944677,0.5421116222040038,-1.2560554881674195,-1.0021850785199702,1.3910410725965259,-0.6065793064596254,0.9574272888766869,0.6808151698217328,-0.02472115077766197
2022.0,M. Johnsen,Oakland Roots,ST,1425.0,0.89,0.106,0.929,0.216,0.05,0.348,0.394,0.099,0.259,0.95,0.805,2.86,2.86,0.046,0.897,0.943,0.638,0.0,52.67,0.365,0.936,1.3480145257718106,-1.3692113525516516,1.486966975171721,-0.9870950428717001,-1.5122672838262676,-0.5187351889816542,-0.36626401153592053,-1.3847143345927324,-0.8416380689732881,1.57732752281179,1.1390770632295453,-0.9419316527825095,-0.912166070921079,-1.555545093150062,1.3724405223228566,1.5353799389428753,0.5045660498481107,-0.6065793064596254,0.8922824179827876,-0.4745494720039267,1.5084846204529152
2022.0,D. Formella,Oakland Roots,ST,2499.0,0.702,0.213,0.922,0.23,0.167,0.128,0.681,0.436,0.582,0.855,0.652,5.1,5.1,0.252,0.72,0.965,0.613,0.0,52.67,0.379,0.943,0.695303449686375,-0.9998539474765811,1.4626193847276467,-0.9388449952620354,-1.1122166033609173,-1.274633460721769,0.6292030959496745,-0.21882119091315533,0.27686878536001397,1.249838492419308,0.6188806878124258,-0.3766897493542102,-0.243030913398622,-0.8471561040304922,0.7594710969516063,1.6114377460057945,0.41799622340783577,-0.6065793064596254,0.8922824179827876,-0.4261210139633302,1.5327113482150234
2022.0,O. Karlsson,Oakland Roots,ST,2981.0,0.617,0.915,0.479,0.901,0.713,0.876,0.94,0.199,0.773,0.351,0.411,20.14,14.22,0.809,0.55,0.369,0.535,8.0,52.67,0.989,0.418,0.40019471847753474,1.423406784885097,-0.07823526766162239,1.3737108580297528,0.7546865721440513,1.2954206631946223,1.5275514612415524,-1.0387519774177836,0.9382768633094282,-0.48757699513659614,-0.20051360287728548,3.4185058879500856,2.4813050850856677,1.0682451917928104,0.17074340026735496,-0.44903739078964966,0.14789836491417818,4.680337605873297,0.8922824179827876,1.6839760863769464,-0.28429323394310957
2025.0,A. Diouf,Detroit City,ST,1585.0,0.606,0.461,0.135,0.298,0.681,0.823,0.372,0.915,0.245,0.078,0.17,3.56,3.56,0.401,0.858,0.635,0.124,0.0,52.57,0.585,0.355,0.36200417679168473,-0.1437732329100622,-1.2747454266275557,-0.7044876211579495,0.6452710014184856,1.113317897729958,-0.44257159468812646,1.438338499954849,-0.8901182422261248,-1.428677050896044,-1.0199078935669965,-0.7652935579611658,-0.7030613341953111,-0.33477766044400725,1.237379462495293,0.4705706400620083,-1.2753095817639415,-0.6065793064596254,0.8639585610723958,0.2864691543483041,-0.5023337838020856
2025.0,C. Rutz,Detroit City,ST,879.0,0.223,0.479,0.17,0.082,0.326,0.018,0.993,0.681,0.074,0.504,0.089,1.27,1.27,0.993,0.092,0.117,0.915,0.0,52.57,0.152,0.362,-0.9677210473610905,-0.08163834233668599,-1.1530074744071845,-1.4489169271356337,-0.5685579863182615,-1.6525825965918266,1.7113833661082303,0.6287865841654691,-1.4822689298143434,0.03985270644287487,-1.2953059746701774,-1.3431524681624185,-1.3871325443410374,1.7009809878996105,-1.4153582766819819,-1.3202449989649045,1.463759726806357,-0.6065793064596254,0.8639585610723958,-1.2113538693358592,-0.4781070560399771
2025.0,D. Smith,Detroit City,ST,2556.0,0.071,0.691,0.287,0.277,0.695,0.092,0.957,0.206,0.273,0.433,0.348,6.34,5.6,0.954,0.007,0.376,0.426,1.0,52.57,0.567,0.358,-1.495444896111017,0.6501725910830799,-0.7460548912705155,-0.7768626925724464,0.6931403136109204,-1.3983259051883334,1.5865164118591661,-1.0145346124155374,-0.7931578957204514,-0.20490225311361165,-0.41471211040198175,-0.06378798138497296,-0.09367038716593071,1.5668685093769734,-1.7097221250241077,-0.4248371794514481,-0.22954607836542057,0.05428530758198985,0.8639585610723958,0.22420399401039426,-0.49195090047546763
